ds,dan,temp,r_hum,co_2,aqi_i,temp_e,r_hum_e,press,wind_s,wind_a,aqi_e
2021-01-14 22:00:00,4.0,28.09338666666667,36.64342,2012.8910000000003,87.44588333333333,-3.5199999999999996,100.0,1014.0,1.37,226.66666666666666,253.0
2021-01-14 23:00:00,4.0,27.87989333333333,36.52285666666666,1828.6050000000002,89.84558,-3.17,100.0,1014.0,1.3733333333333333,110.0,270.3333333333333
2021-01-15 00:00:00,5.0,27.031926666666667,36.32622,1455.4846666666665,87.78427333333332,-3.17,100.0,1014.0,1.8,170.0,143.0
2021-01-15 01:00:00,5.0,26.549366666666668,36.18724666666667,1224.672,84.33239666666667,-3.17,96.5,1014.5,1.8,175.0,124.33333333333333
2021-01-15 02:00:00,5.0,26.189106666666664,36.00503333333333,1049.155,83.54534333333332,-3.17,93.0,1015.0,2.06,340.0,62.333333333333336
2021-01-15 03:00:00,5.0,25.877786666666665,35.84885333333333,901.5484333333334,82.65172999999999,-4.22,100.0,1015.0,1.54,150.0,24.0
2021-01-15 04:00:00,5.0,25.563190000000002,35.712603333333334,824.2730333333334,82.82688333333334,-4.109999999999999,100.0,1015.0,1.025,115.0,47.333333333333336
2021-01-15 05:00:00,5.0,25.22235333333333,35.615766666666666,771.7989666666667,81.64927999999999,-4.0,100.0,1015.0,1.025,120.0,50.0
2021-01-15 06:00:00,5.0,25.105043333333338,35.750033333333334,795.7949666666667,81.03046666666667,-5.0,100.0,1015.0,1.03,0.0,29.0
2021-01-15 07:00:00,5.0,26.248896666666667,36.51502,1197.9566666666667,83.17055333333333,-5.0,100.0,1015.0,0.51,0.0,29.0
2021-01-15 08:00:00,5.0,27.015146666666666,36.84617666666666,1301.745,82.95409,-5.0,100.0,1016.0,0.51,0.0,26.666666666666668
2021-01-15 09:00:00,5.0,27.54231333333333,37.36848,1380.5483333333332,82.83152333333334,-5.0,100.0,1016.0,0.8533333333333334,103.33333333333333,80.0
2021-01-15 10:00:00,5.0,26.15785,40.09885,1130.355,84.74636,-3.17,100.0,1016.0,1.03,0.0,149.0
2021-01-15 11:00:00,5.0,27.751926666666666,38.346970000000006,1329.3443333333332,84.94009333333334,-2.463333333333333,93.0,1016.0,0.8566666666666668,0.0,145.66666666666666
2021-01-15 12:00:00,5.0,27.971676666666667,37.65192,1210.451,83.20379333333334,-0.6649999999999999,77.5,1015.5,0.77,60.0,101.0
2021-01-15 13:00:00,5.0,27.920083333333334,37.54524,1149.9603333333334,83.45156333333334,1.1866666666666668,67.33333333333333,1015.0,0.6833333333333332,40.0,167.66666666666666
2021-01-15 14:00:00,5.0,27.822370000000003,37.44737333333333,1114.077,81.96259333333334,0.9866666333333334,65.66666666666667,1015.0,0.51,0.0,168.33333333333334
2021-01-15 15:00:00,5.0,27.621626666666668,37.33763666666667,1070.4426666666666,81.98501333333333,0.0,64.0,1015.0,1.03,0.0,105.66666666666667
2021-01-15 16:00:00,5.0,27.542666666666662,37.362946666666666,1352.5123333333333,83.08533,-2.11,80.0,1015.0,1.03,0.0,50.333333333333336
2021-01-15 17:00:00,5.0,27.842596666666665,37.90683333333334,1635.7626666666665,86.03375000000001,-2.0733333333333333,84.0,1015.0,1.37,213.33333333333334,152.66666666666666
2021-01-15 18:00:00,5.0,27.885253333333328,37.77112666666667,1812.5559999999998,84.86703666666666,-2.585,93.0,1015.5,1.025,155.0,103.33333333333333
2021-01-15 19:00:00,5.0,27.482663333333335,37.81908333333333,1740.53,82.81382,-3.17,100.0,1016.0,0.51,0.0,102.33333333333333
2021-01-15 20:00:00,5.0,27.345626666666664,37.81466,1517.4876666666667,83.19307,-3.17,100.0,1016.0,0.77,0.0,95.0
2021-01-15 21:00:00,5.0,27.11412,37.89364333333334,1622.6383333333333,83.38298,-3.17,100.0,1016.0,1.2850000000000001,160.0,99.0
2021-01-15 22:00:00,5.0,26.810156666666668,38.19831,1723.662,82.39852,-3.0,100.0,1017.0,1.54,330.0,54.0
2021-01-15 23:00:00,5.0,26.34257666666667,38.11901,1349.653,82.13792666666667,-4.22,100.0,1017.0,1.03,0.0,54.0
2021-01-16 00:00:00,6.0,25.669355000000003,38.146425,1163.5414999999998,80.33803,-4.22,100.0,1017.0,1.03,0.0,NaN
2021-01-16 01:00:00,6.0,25.218739999999997,38.08200333333333,1010.1643666666668,82.26012666666666,-4.22,100.0,1017.0,2.57,300.0,50.666666666666664
2021-01-16 02:00:00,6.0,24.882569999999998,37.965313333333334,880.4181666666667,81.50572666666666,-4.0,100.0,1017.0,2.06,340.0,52.0
2021-01-16 03:00:00,6.0,24.666879999999995,37.870380000000004,827.4647999999999,82.45327333333333,-4.0,100.0,1017.0,2.06,340.0,NaN
2021-01-16 04:00:00,6.0,24.518406666666664,37.73334,789.4200666666667,80.12819,-6.72,97.33333333333333,1017.6666666666666,0.9633333333333333,115.0,157.0
2021-01-16 05:00:00,6.0,24.40082,37.59844999999999,750.0037333333333,80.18987,-6.06,100.0,1016.0,1.03,0.0,132.0
2021-01-16 06:00:00,6.0,24.261156666666665,37.42475666666667,713.6601,80.10538666666666,-5.6866666666666665,100.0,1016.0,0.8566666666666668,66.66666666666667,124.0
2021-01-16 07:00:00,6.0,25.196236666666664,38.17037,898.5014666666666,78.58016333333333,-5.0,100.0,1016.0,0.41333333333333333,222.33333333333334,99.0
2021-01-16 08:00:00,6.0,25.974416666666666,38.439766666666664,979.7588333333333,79.22529333333334,-5.0,100.0,1017.0,1.2,100.0,97.0
2021-01-16 09:00:00,6.0,26.529586666666663,38.54681,1006.1496666666667,80.56125,-5.513333333333333,100.0,1017.0,1.8866666666666667,316.6666666666667,97.0
2021-01-16 10:00:00,6.0,26.829536666666666,39.68627,2727.467666666667,82.06659666666667,-3.5199999999999996,88.66666666666667,1018.0,2.5733333333333337,310.0,114.33333333333333
2021-01-16 11:00:00,6.0,28.17567,39.81197,8753.246333333334,90.32758666666666,-2.3499999999999996,74.5,1018.0,2.83,300.0,85.66666666666667
2021-01-16 12:00:00,6.0,27.71485,39.18799,7280.197,86.106615,-2.3499999999999996,74.5,1018.0,2.83,300.0,NaN
2021-01-16 13:00:00,6.0,27.35459333333333,38.98636,4679.405666666667,84.22922333333332,-3.17,70.0,1017.0,3.4299999999999997,226.66666666666666,55.0
2021-01-16 14:00:00,6.0,26.676126666666665,37.659886666666665,2092.6373333333336,84.44447333333333,-2.11,62.333333333333336,1016.6666666666666,2.0566666666666666,306.6666666666667,65.0
2021-01-16 15:00:00,6.0,25.536443333333334,37.28334666666667,1435.2526666666665,80.53027,-2.11,62.333333333333336,1016.6666666666666,2.0566666666666666,306.6666666666667,NaN
2021-01-16 16:00:00,6.0,25.890243333333334,37.884573333333336,1709.892,96.04818,-3.17,68.0,1016.0,3.09,340.0,39.0
2021-01-16 17:00:00,6.0,26.254013333333333,38.2925,2089.9249999999997,112.19626666666666,-4.225,80.0,1017.0,3.09,310.0,45.0
2021-01-16 18:00:00,6.0,26.85942,39.38153,4313.7553333333335,115.09656666666667,-4.369999999999999,100.0,1017.0,3.6,320.0,49.0
2021-01-16 19:00:00,6.0,26.90693,39.567856666666664,4251.1703333333335,94.50479666666668,-5.0,100.0,1017.0,3.09,290.0,32.333333333333336
2021-01-16 20:00:00,6.0,26.90603,39.84952666666667,3912.5496666666672,90.36146000000001,-5.0,100.0,1018.0,1.54,320.0,28.333333333333332
2021-01-16 21:00:00,6.0,27.05194,40.030206666666665,3602.1006666666667,86.54062666666665,-5.0,93.0,1018.0,1.54,320.0,35.0
2021-01-16 22:00:00,6.0,27.108996666666666,40.15725333333333,3670.4019999999996,84.91299333333333,-5.0,86.0,1018.0,2.57,290.0,84.33333333333333
2021-01-16 23:00:00,6.0,26.563633333333332,39.93161333333333,2598.2816666666663,81.58965333333333,-5.0,86.0,1018.0,2.57,290.0,NaN
2021-01-17 00:00:00,7.0,25.803946666666665,39.81711333333334,2035.1246666666666,82.22439,-5.333333333333333,100.0,1017.0,1.54,230.0,107.0
2021-01-17 01:00:00,7.0,25.36811333333333,39.6664,1808.4256666666668,81.03645333333333,-6.579999999999999,100.0,1017.0,1.54,46.666666666666664,102.0
2021-01-17 02:00:00,7.0,25.05647666666667,39.405910000000006,1632.9930000000002,81.84130333333333,-8.200000000000001,100.0,1017.0,1.2533333333333334,158.66666666666666,74.0
2021-01-17 03:00:00,7.0,24.815089999999998,39.16340333333333,1507.5,80.78093666666666,-9.58,100.0,1016.6666666666666,0.63,133.33333333333334,134.0
2021-01-17 04:00:00,7.0,24.58184,38.91171666666667,1389.7113333333334,79.31602,-10.0,100.0,1015.3333333333334,0.51,0.0,134.0
2021-01-17 05:00:00,7.0,24.35217666666667,38.734093333333334,1288.0993333333333,78.15466666666667,-9.479999999999999,100.0,1015.0,0.8566666666666668,0.0,132.0
2021-01-17 06:00:00,7.0,24.08963,38.56929333333333,1189.3293333333334,79.36627,-8.68,100.0,1015.0,0.8566666666666668,0.0,104.0
2021-01-17 07:00:00,7.0,24.933630000000004,39.25109666666667,1521.4863333333333,77.58129666666667,-8.17,100.0,1014.0,1.03,0.0,25.333333333333332
2021-01-17 08:00:00,7.0,25.793296666666667,39.66864,1665.8246666666666,80.68141999999999,-8.17,100.0,1014.0,0.6833333333333332,0.0,72.0
2021-01-17 09:00:00,7.0,26.258200000000002,40.0212,1742.019,81.14531333333333,-6.920000000000001,100.0,1014.0,0.6233333333333334,200.0,67.66666666666667
2021-01-17 10:00:00,7.0,26.942473333333336,40.52907,2054.780666666667,82.50218666666667,-5.416666666666667,97.66666666666667,1014.3333333333334,0.51,0.0,75.66666666666667
2021-01-17 11:00:00,7.0,27.67466333333333,40.97775666666667,2518.7899999999995,87.44832000000001,-3.84,86.0,1014.0,0.51,0.0,123.33333333333333
2021-01-17 12:00:00,7.0,27.56721333333333,40.60215,2150.663666666667,84.55193666666666,-3.5199999999999996,84.0,1013.6666666666666,0.51,0.0,152.0
2021-01-17 13:00:00,7.0,27.469686666666664,40.474266666666665,2105.3889999999997,85.95251,-3.17,89.5,1013.0,0.51,0.0,86.0
2021-01-17 14:00:00,7.0,27.60994666666667,40.83170333333333,2695.2110000000002,87.44914,-3.17,96.5,1013.0,0.85,157.5,87.0
2021-01-17 15:00:00,7.0,27.62276,40.937823333333334,2527.795666666667,84.79805333333333,-3.17,100.0,1013.5,0.92,170.5,115.33333333333333
2021-01-17 16:00:00,7.0,27.14882,39.99673,1668.799,88.84616999999999,-3.695,100.0,1014.0,1.24,341.0,115.0
2021-01-17 17:00:00,7.0,26.708353333333335,40.174103333333335,1644.9203333333335,87.75453333333333,-4.225,100.0,1014.0,1.0899999999999999,170.5,99.0
2021-01-17 18:00:00,7.0,27.45234666666667,41.31641333333334,2281.613,88.75850333333334,-4.225,100.0,1015.0,1.8,335.0,102.33333333333333
2021-01-17 19:00:00,7.0,27.352575,40.742185000000006,2051.792,85.11892,-4.225,100.0,1015.0,1.8,335.0,NaN
